Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
9.04,-0.004,0.003,0
9.05,-0.004,0,0
9.06,-0.004,-0.003,0
9.07,-0.003,0,0
9.08,-0.004,0,0
9.09,-0.004,0,0
9.1,-0.004,0,0
9.11,-0.004,0,0
9.12,-0.004,-0.003,0
9.13,-0.004,0,0
9.14,-0.004,-0.003,0
9.15,-0.004,0,0
9.16,-0.004,-0.003,0
9.17,-0.004,-0.003,0
9.18,-0.004,-0.003,0
9.19,-0.004,0,0
9.2,-0.004,-0.005,0
9.21,-0.004,-0.003,0
9.22,-0.004,-0.003,0
9.23,-0.004,-0.003,0
9.24,-0.004,0,0
9.25,-0.004,-0.003,0
9.26,-0.004,-0.003,0
9.27,-0.004,-0.003,0
9.28,-0.004,-0.003,0
9.29,-0.004,-0.005,0
9.3,-0.004,-0.003,0
9.31,-0.005,-0.003,0
9.32,-0.004,-0.003,0
9.33,-0.004,-0.005,0
9.34,-0.004,0,0
9.35,-0.004,-0.005,0
9.36,-0.004,0,0
9.37,-0.004,-0.005,0
9.38,-0.004,-0.003,0
9.39,-0.004,-0.003,0
9.4,-0.004,-0.003,0
9.41,-0.004,-0.003,0
9.42,-0.004,-0.003,0
9.43,-0.004,-0.005,0
9.44,-0.004,-0.005,0
9.45,-0.004,-0.003,0
9.46,-0.004,-0.003,0
9.47,-0.005,-0.003,0
9.48,-0.004,-0.005,0
